,tmp,cat,sub_cat,model,em_sum,em_mean,em_ci,ea_sum,ea_mean,ea_ci,rea_sum,rea_mean,rea_ci,et_sum,et_mean,et_ci,cc_sum,cc_mean,cc_ci,tokens_sum,tokens_mean,tokens_ci,count_sum,count_mean,count_ci
58,0.2,c4,s25_4_4_3,dail,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",524635.0,29146.39,"(704075.91%, 5125201.86%)",12,0.67,"(47.80%, 85.53%)",118552,6586.22,"(624355.09%, 692889.35%)",18,1.0,"(100.00%, 100.00%)"
59,0.2,c4,s25_4_4_3,din,0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",0,0.0,"(0.00%, 0.00%)",548491.0,30471.72,"(796482.24%, 5297862.20%)",7,0.39,"(19.38%, 58.40%)",410839,22824.39,"(2170696.84%, 2394180.94%)",18,1.0,"(100.00%, 100.00%)"
60,0.2,c4,s25_4_4_4,dail,1687,0.29,"(28.36%, 30.34%)",2427,0.42,"(41.15%, 43.30%)",3123,0.54,"(53.25%, 55.42%)",493945453.0,85933.45,"(7822442.29%, 9364247.10%)",5100,0.89,"(88.04%, 89.41%)",38902853,6768.07,"(665452.15%, 688161.39%)",5748,1.0,"(100.00%, 100.00%)"
61,0.2,c4,s25_4_4_4,din,1228,0.21,"(20.47%, 22.26%)",2216,0.39,"(37.49%, 39.61%)",2922,0.51,"(49.75%, 51.92%)",405288260.0,70509.44,"(6039505.24%, 8062382.72%)",4483,0.78,"(77.09%, 78.89%)",145197509,25260.53,"(2504891.64%, 2547213.75%)",5748,1.0,"(100.00%, 100.00%)"
62,0.2,c4,s25_4_4_5,dail,1466,0.3,"(28.53%, 30.67%)",2605,0.53,"(51.42%, 53.77%)",2790,0.56,"(55.17%, 57.49%)",496591932.0,100260.84,"(9094018.78%, 10958148.88%)",4248,0.86,"(84.95%, 86.59%)",29871606,6031.01,"(597939.33%, 608263.22%)",4953,1.0,"(100.00%, 100.00%)"
63,0.2,c4,s25_4_4_5,din,806,0.16,"(15.41%, 17.14%)",2626,0.53,"(51.85%, 54.19%)",2750,0.56,"(54.36%, 56.69%)",546277365.0,110292.22,"(9482595.36%, 12575848.62%)",3890,0.79,"(77.58%, 79.50%)",116252308,23471.09,"(2326995.51%, 2367222.46%)",4953,1.0,"(100.00%, 100.00%)"
64,0.2,c5,s26,dail,12,0.15,"(8.26%, 21.37%)",38,0.47,"(37.71%, 56.12%)",41,0.51,"(41.39%, 59.84%)",70982.0,876.32,"(57535.97%, 117728.23%)",67,0.83,"(75.74%, 89.69%)",446824,5516.35,"(519208.77%, 584060.36%)",81,1.0,"(100.00%, 100.00%)"
65,0.2,c5,s26,din,27,0.33,"(24.64%, 42.03%)",49,0.6,"(51.48%, 69.51%)",55,0.68,"(59.29%, 76.51%)",56248.0,694.42,"(44581.85%, 94302.10%)",79,0.98,"(94.67%, 100.39%)",1296216,16002.67,"(1473949.00%, 1726584.34%)",81,1.0,"(100.00%, 100.00%)"
66,0.2,c5,s27,dail,35,0.07,"(4.81%, 8.37%)",137,0.26,"(22.66%, 28.94%)",184,0.35,"(31.24%, 38.06%)",36553654.0,68839.27,"(4150945.50%, 9616909.12%)",478,0.9,"(87.87%, 92.17%)",10041601,18910.74,"(1712702.14%, 2069445.13%)",531,1.0,"(100.00%, 100.00%)"
67,0.2,c5,s27,din,64,0.12,"(9.72%, 14.39%)",161,0.3,"(27.03%, 33.61%)",248,0.47,"(43.13%, 50.28%)",41493867.0,78142.88,"(3096355.37%, 12532219.77%)",485,0.91,"(89.32%, 93.35%)",12077505,22744.83,"(2198041.44%, 2350924.66%)",531,1.0,"(100.00%, 100.00%)"
